datetime,school,category,active_cases,total_positive_cases,probable_cases,resolved
20210115115205,HMS-FWA,staff,0,17,0,17
20210115115205,NGES,staff,0,14,0,14
20210115115205,GES,staff,2,14,0,12
20210115115205,GMS,staff,0,7,0,7
20210115115205,HHS,staff,0,21,0,21
20210115115205,HES,staff,0,15,0,15
20210115115205,HHS,students,7,72,0,65
20210115115205,HES,students,0,23,0,23
20210115115205,HMS-FWA,students,1,51,0,50
20210115115205,NGES,students,0,21,0,21
20210115115205,GES,students,3,26,0,23
20210115115205,GMS,students,4,35,0,31
